,provinsi,daerah,jenis,tahun,pengeluaran,kategori_pengeluaran,Cluster,cluster_opt,daerah_asli,jenis_asli,pengeluaran_asli
132,SUMATERA UTARA,0,0,2007,0.04544892384062322,rendah,1,0,PERDESAAN,MAKANAN,171298.99999999997
133,SUMATERA UTARA,0,0,2008,0.05639805833510061,rendah,1,0,PERDESAAN,MAKANAN,198301.0
134,SUMATERA UTARA,0,0,2009,0.06486070691297421,rendah,1,0,PERDESAAN,MAKANAN,219171.0
135,SUMATERA UTARA,0,0,2010,0.07689899684972129,rendah,1,0,PERDESAAN,MAKANAN,248859.0
136,SUMATERA UTARA,0,0,2011,0.10110533463145308,rendah,1,0,PERDESAAN,MAKANAN,308555.0
137,SUMATERA UTARA,0,0,2012,0.1138775677366693,rendah,1,0,PERDESAAN,MAKANAN,340053.0
138,SUMATERA UTARA,0,0,2013,0.12328461059043497,rendah,1,0,PERDESAAN,MAKANAN,363251.99999999994
139,SUMATERA UTARA,0,0,2014,0.13090950967324932,rendah,2,0,PERDESAAN,MAKANAN,382056.0
140,SUMATERA UTARA,0,0,2015,0.14349237733113124,sedang,2,0,PERDESAAN,MAKANAN,413087.0
141,SUMATERA UTARA,0,0,2016,0.1588573356403208,sedang,2,0,PERDESAAN,MAKANAN,450979.0
142,SUMATERA UTARA,0,0,2017,0.17492460862784662,sedang,2,0,PERDESAAN,MAKANAN,490603.0
143,SUMATERA UTARA,0,0,2018,0.18664701915672768,sedang,2,0,PERDESAAN,MAKANAN,519512.0
144,SUMATERA UTARA,0,0,2019,0.19241516367135403,sedang,0,0,PERDESAAN,MAKANAN,533737.0
145,SUMATERA UTARA,0,0,2020,0.1967555657019031,sedang,0,0,PERDESAAN,MAKANAN,544441.0
146,SUMATERA UTARA,0,0,2021,0.21104028942501432,sedang,0,0,PERDESAAN,MAKANAN,579669.0
147,SUMATERA UTARA,0,0,2022,0.23200227400734186,sedang,0,0,PERDESAAN,MAKANAN,631364.0
148,SUMATERA UTARA,0,1,2007,0.020776268576162417,rendah,1,2,PERDESAAN,NONMAKANAN,110453.0
149,SUMATERA UTARA,0,1,2008,0.024637377333158697,rendah,1,2,PERDESAAN,NONMAKANAN,119975.0
150,SUMATERA UTARA,0,1,2009,0.02773818584657506,rendah,1,2,PERDESAAN,NONMAKANAN,127622.0
151,SUMATERA UTARA,0,1,2010,0.03697775990002153,rendah,1,2,PERDESAAN,NONMAKANAN,150408.0
152,SUMATERA UTARA,0,1,2011,0.051255590234257624,rendah,1,2,PERDESAAN,NONMAKANAN,185619.0
153,SUMATERA UTARA,0,1,2012,0.05492206212889745,rendah,1,2,PERDESAAN,NONMAKANAN,194661.0
154,SUMATERA UTARA,0,1,2013,0.060141573987756526,rendah,1,2,PERDESAAN,NONMAKANAN,207533.0
155,SUMATERA UTARA,0,1,2014,0.06601474130936272,rendah,2,2,PERDESAAN,NONMAKANAN,222016.99999999997
156,SUMATERA UTARA,0,1,2015,0.08523107653243076,rendah,2,2,PERDESAAN,NONMAKANAN,269407.0
157,SUMATERA UTARA,0,1,2016,0.09246832386438514,rendah,2,2,PERDESAAN,NONMAKANAN,287255.0
158,SUMATERA UTARA,0,1,2017,0.0887617081168843,rendah,2,2,PERDESAAN,NONMAKANAN,278114.0
159,SUMATERA UTARA,0,1,2018,0.11283707150998873,rendah,2,2,PERDESAAN,NONMAKANAN,337487.0
160,SUMATERA UTARA,0,1,2019,0.12563606718377895,rendah,0,2,PERDESAAN,NONMAKANAN,369050.99999999994
161,SUMATERA UTARA,0,1,2020,0.1343712073689516,rendah,0,2,PERDESAAN,NONMAKANAN,390593.0
162,SUMATERA UTARA,0,1,2021,0.13129999987835198,rendah,0,2,PERDESAAN,NONMAKANAN,383019.0
163,SUMATERA UTARA,0,1,2022,0.13991835794611074,rendah,0,2,PERDESAAN,NONMAKANAN,404273.0
164,SUMATERA UTARA,0,2,2007,0.09023689333616097,rendah,1,1,PERDESAAN,TOTAL,281752.0
165,SUMATERA UTARA,0,2,2008,0.10504713658763465,rendah,1,1,PERDESAAN,TOTAL,318276.0
166,SUMATERA UTARA,0,2,2009,0.1166105936789246,rendah,1,1,PERDESAAN,TOTAL,346793.0
167,SUMATERA UTARA,0,2,2010,0.13788845766911814,rendah,1,1,PERDESAAN,TOTAL,399267.0
168,SUMATERA UTARA,0,2,2011,0.17637262578508603,sedang,1,1,PERDESAAN,TOTAL,494174.0
169,SUMATERA UTARA,0,2,2012,0.19281092529147884,sedang,1,1,PERDESAAN,TOTAL,534713.0
170,SUMATERA UTARA,0,2,2013,0.20743788549756684,sedang,1,1,PERDESAAN,TOTAL,570785.0
171,SUMATERA UTARA,0,2,2014,0.22093595190198737,sedang,2,1,PERDESAAN,TOTAL,604073.0
172,SUMATERA UTARA,0,2,2015,0.25273515478293734,tinggi,2,1,PERDESAAN,TOTAL,682494.0
173,SUMATERA UTARA,0,2,2016,0.2753373604240813,tinggi,2,1,PERDESAAN,TOTAL,738234.0
174,SUMATERA UTARA,0,2,2017,0.2876984231575695,tinggi,2,1,PERDESAAN,TOTAL,768718.0
175,SUMATERA UTARA,0,2,2018,0.32349619707955496,tinggi,2,1,PERDESAAN,TOTAL,857000.0
176,SUMATERA UTARA,0,2,2019,0.3420629317745083,tinggi,0,1,PERDESAAN,TOTAL,902788.0
177,SUMATERA UTARA,0,2,2020,0.35513887948369327,tinggi,0,1,PERDESAAN,TOTAL,935035.0
178,SUMATERA UTARA,0,2,2021,0.36635239571620487,tinggi,0,1,PERDESAAN,TOTAL,962689.0
179,SUMATERA UTARA,0,2,2022,0.39593273836629117,tinggi,0,1,PERDESAAN,TOTAL,1035638.0
180,SUMATERA UTARA,2,0,2007,0.06017117501057324,rendah,1,0,PERKOTAAN,MAKANAN,207606.0
181,SUMATERA UTARA,2,0,2008,0.06824657733105013,rendah,1,0,PERKOTAAN,MAKANAN,227521.0
182,SUMATERA UTARA,2,0,2009,0.08046815031318288,rendah,1,0,PERKOTAAN,MAKANAN,257661.0
183,SUMATERA UTARA,2,0,2010,0.09301127961166702,rendah,1,0,PERKOTAAN,MAKANAN,288594.0
184,SUMATERA UTARA,2,0,2011,0.10752713460882654,rendah,1,0,PERKOTAAN,MAKANAN,324392.0
185,SUMATERA UTARA,2,0,2012,0.11751849354312485,rendah,1,0,PERKOTAAN,MAKANAN,349032.0
186,SUMATERA UTARA,2,0,2013,0.1233762521131278,rendah,1,0,PERKOTAAN,MAKANAN,363478.0
187,SUMATERA UTARA,2,0,2014,0.1448029322043314,sedang,2,0,PERKOTAAN,MAKANAN,416319.0
188,SUMATERA UTARA,2,0,2015,0.1447031808123737,sedang,2,0,PERKOTAAN,MAKANAN,416073.0
189,SUMATERA UTARA,2,0,2016,0.1759537510375564,sedang,2,0,PERKOTAAN,MAKANAN,493141.0
190,SUMATERA UTARA,2,0,2017,0.20050597474343415,sedang,2,0,PERKOTAAN,MAKANAN,553690.0
191,SUMATERA UTARA,2,0,2018,0.21368816173998867,sedang,2,0,PERKOTAAN,MAKANAN,586199.0
192,SUMATERA UTARA,2,0,2019,0.22420544569611264,sedang,0,0,PERKOTAAN,MAKANAN,612136.0
193,SUMATERA UTARA,2,0,2020,0.23690550096487167,tinggi,0,0,PERKOTAAN,MAKANAN,643456.0
194,SUMATERA UTARA,2,0,2021,0.23163489692964406,sedang,0,0,PERKOTAAN,MAKANAN,630458.0
195,SUMATERA UTARA,2,0,2022,0.2555610387282752,tinggi,0,0,PERKOTAAN,MAKANAN,689463.0
